station,date,value,yr,mo
gtmpcnut,2021-04-07,5.25,2021,Apr
gtmpcnut,2021-05-11,11,2021,May
gtmpcnut,2021-06-08,14.5,2021,Jun
gtmpcnut,2021-07-21,13,2021,Jul
gtmpcnut,2021-08-19,6.5,2021,Aug
gtmpcnut,2021-09-08,11.5,2021,Sep
gtmpcnut,2021-10-05,14.5,2021,Oct
gtmpcnut,2021-11-02,8,2021,Nov
gtmpcnut,2021-12-06,3.4,2021,Dec
gtmpcnut,2022-01-04,6,2022,Jan
gtmpcnut,2022-02-01,1.55,2022,Feb
gtmpcnut,2022-03-02,4.4,2022,Mar
gtmpcnut,2022-04-18,3.1,2022,Apr
gtmpcnut,2022-05-02,10,2022,May
gtmpcnut,2022-06-14,13,2022,Jun
gtmpcnut,2022-08-22,16,2022,Aug
gtmpcnut,2022-09-12,16,2022,Sep
gtmpcnut,2022-10-10,5,2022,Oct
gtmpcnut,2022-11-08,3.6500000000000004,2022,Nov
gtmpcnut,2022-12-06,3.3,2022,Dec
gtmpcnut,2003-01-01,1.638444028956015,2003,Jan
gtmpcnut,2005-01-01,4.591800602240348,2005,Jan
gtmpcnut,2009-09-01,5.706260674523715,2009,Sep
gtmpcnut,2010-02-01,3.7691833945399877,2010,Feb
gtmpcnut,2015-08-01,12.793913590795553,2015,Aug
gtmpcnut,2015-09-01,8.355223121189912,2015,Sep
gtmpcnut,2020-07-01,12.132631707659502,2020,Jul
gtmpcnut,2022-07-01,14.377723755660625,2022,Jul
