station,date,value,yr,mo
gtmssnut,2017-08-02,3.1,2017,Aug
gtmssnut,2017-09-18,4.05,2017,Sep
gtmssnut,2017-10-17,2,2017,Oct
gtmssnut,2017-11-01,4.55,2017,Nov
gtmssnut,2017-12-14,1.9,2017,Dec
gtmssnut,2018-01-16,3.6999999999999997,2018,Jan
gtmssnut,2018-02-13,2.75,2018,Feb
gtmssnut,2018-03-27,2.5999999999999996,2018,Mar
gtmssnut,2018-04-25,2.55,2018,Apr
gtmssnut,2018-05-29,8.25,2018,May
gtmssnut,2018-06-12,4.6,2018,Jun
gtmssnut,2018-07-24,3.4,2018,Jul
gtmssnut,2018-08-07,5.6,2018,Aug
gtmssnut,2018-09-05,4.4,2018,Sep
gtmssnut,2018-10-23,4.949999999999999,2018,Oct
gtmssnut,2018-11-06,6.35,2018,Nov
gtmssnut,2018-12-04,7.15,2018,Dec
gtmssnut,2019-01-22,6.4,2019,Jan
gtmssnut,2019-02-05,3.7,2019,Feb
gtmssnut,2019-03-05,3.85,2019,Mar
gtmssnut,2019-04-03,4.5,2019,Apr
gtmssnut,2019-05-01,6.9,2019,May
gtmssnut,2019-06-04,6.300000000000001,2019,Jun
gtmssnut,2019-07-15,7.7,2019,Jul
gtmssnut,2019-08-13,5.4,2019,Aug
gtmssnut,2019-10-15,8.899999999999999,2019,Oct
gtmssnut,2019-11-12,4.6,2019,Nov
gtmssnut,2019-12-10,5.9,2019,Dec
gtmssnut,2020-01-13,3.3,2020,Jan
gtmssnut,2020-02-11,4.2,2020,Feb
gtmssnut,2020-03-10,2.5,2020,Mar
gtmssnut,2020-04-22,4.05,2020,Apr
gtmssnut,2020-05-05,4.95,2020,May
gtmssnut,2020-06-02,6.949999999999999,2020,Jun
gtmssnut,2020-07-07,7.9,2020,Jul
gtmssnut,2020-09-15,5.1,2020,Sep
gtmssnut,2020-10-13,4.3,2020,Oct
gtmssnut,2020-11-17,3.7,2020,Nov
gtmssnut,2020-12-01,3,2020,Dec
gtmssnut,2021-01-12,3.35,2021,Jan
gtmssnut,2021-02-09,2,2021,Feb
gtmssnut,2021-03-10,3,2021,Mar
gtmssnut,2021-04-07,3.6500000000000004,2021,Apr
gtmssnut,2021-05-11,8.7,2021,May
gtmssnut,2021-06-08,8.35,2021,Jun
gtmssnut,2021-07-21,11.5,2021,Jul
gtmssnut,2021-08-19,8.3,2021,Aug
gtmssnut,2021-09-08,6.9,2021,Sep
gtmssnut,2021-10-05,5.1,2021,Oct
gtmssnut,2021-11-02,6.6,2021,Nov
gtmssnut,2021-12-06,3.25,2021,Dec
gtmssnut,2022-01-04,6.85,2022,Jan
gtmssnut,2022-02-01,5.6,2022,Feb
gtmssnut,2022-03-02,4.45,2022,Mar
gtmssnut,2022-04-13,5.3,2022,Apr
gtmssnut,2022-05-02,5.15,2022,May
gtmssnut,2022-06-14,7.65,2022,Jun
gtmssnut,2022-08-09,6.5,2022,Aug
gtmssnut,2022-09-12,4.7,2022,Sep
gtmssnut,2022-10-10,5.75,2022,Oct
gtmssnut,2022-11-08,4.8,2022,Nov
gtmssnut,2022-12-06,2.45,2022,Dec
gtmssnut,2005-01-01,1.9744805334809539,2005,Jan
gtmssnut,2009-06-01,5.892403523899029,2009,Jun
gtmssnut,2010-02-01,4.675561251547466,2010,Feb
gtmssnut,2019-09-01,6.87843592380873,2019,Sep
gtmssnut,2020-08-01,6.283238347047778,2020,Aug
gtmssnut,2022-07-01,6.6356292587857375,2022,Jul
