"","datetimestamp","station","temp_mean","temp_min","temp_max","sal_mean","sal_min","sal_max"
"152",2015-07-01,"Pine Island",30.0774865591398,29.4161290322581,30.9,33.023947972456,31.975,34.1625
"153",2015-08-01,"Pine Island",29.9827620967742,29.4064516129032,30.6645161290323,28.5836562763269,24.9733333333333,32.1133333333333
"154",2015-09-01,"Pine Island",28.22625,27.69,28.7766666666667,14.6932291666667,9.14333333333333,20.99
"155",2015-10-01,"Pine Island",24.9424201680672,24.358064516129,25.5838709677419,20.8234957983193,16.441935483871,25.8709677419355
"156",2015-11-01,"Pine Island",23.6727777777778,23.1566666666667,24.2166666666667,25.6620833333333,21.8633333333333,29.26
"157",2015-12-01,"Pine Island",20.8006048387097,20.1741935483871,21.4612903225806,27.8237903225806,25.8032258064516,29.8161290322581
"158",2016-01-01,"Pine Island",15.1181451612903,14.4838709677419,15.758064516129,29.1207444583856,26.9153846153846,30.7884615384615
"159",2016-02-01,"Pine Island",15.9104525862069,15.2344827586207,16.7793103448276,25.0461566091954,21.4448275862069,28.1862068965517
"160",2016-03-01,"Pine Island",21.177688172043,20.5225806451613,22.1161290322581,28.3728819969743,26.3758620689655,30.3931034482759
"161",2016-04-01,"Pine Island",23.3097569444444,22.71,24.1833333333333,32.3304628632939,31.4380952380952,33.2095238095238
"162",2016-05-01,"Pine Island",26.5330309139785,25.8677419354839,27.3677419354839,33.9249910362137,33.6193548387097,34.2258064516129
"163",2016-06-01,"Pine Island",29.613125,28.9733333333333,30.4433333333333,31.0609027777778,28.6733333333333,32.9433333333333
"164",2016-07-01,"Pine Island",31.5038306451613,30.9387096774194,32.258064516129,32.2213883677298,31.1888888888889,33.7777777777778
"165",2016-08-01,"Pine Island",30.4442204301075,29.841935483871,31.1548387096774,37.4381847261096,37.0148148148148,37.6962962962963
"166",2016-09-01,"Pine Island",29.0819791666667,28.5833333333333,29.6833333333333,35.0382956338769,33.5636363636364,35.8409090909091
"167",2016-10-01,"Pine Island",25.1712701612903,24.5483870967742,25.8967741935484,21.3055156781262,17.2214285714286,26.5535714285714
"168",2016-11-01,"Pine Island",20.7477430555556,20.21,21.2933333333333,25.3380902777778,22.3233333333333,28.5466666666667
"169",2016-12-01,"Pine Island",18.9907930107527,18.3258064516129,19.741935483871,26.1952956989247,22.6354838709677,29.5483870967742
"170",2017-01-01,"Pine Island",17.8872311827957,17.2,18.6645161290323,28.2771595900439,26.048275862069,30.4
"171",2017-02-01,"Pine Island",18.8911830357143,18.3607142857143,19.6607142857143,32.2090773809524,30.5571428571429,33.6464285714286
"172",2017-03-01,"Pine Island",20.0577620967742,19.3516129032258,20.9548387096774,34.3958771560791,33.8230769230769,34.7230769230769
"173",2017-04-01,"Pine Island",24.5088194444444,23.86,25.4133333333333,34.1806597222222,33.3666666666667,35.01
"174",2017-05-01,"Pine Island",26.395497311828,25.7096774193548,27.2935483870968,37.4122528111671,37.0821428571429,37.7071428571429
"175",2017-06-01,"Pine Island",28.6296527777778,28.0366666666667,29.4566666666667,30.41875,26.8066666666667,33.42
"176",2017-07-01,"Pine Island",30.4643481182796,29.8290322580645,31.2870967741936,23.3876085962506,18.9916666666667,27.775
"177",2017-08-01,"Pine Island",30.313810483871,29.7612903225806,31.0612903225806,19.0722446236559,13.7225806451613,25.0935483870968
"178",2017-09-01,"Pine Island",28.4054166666667,27.84,29.0466666666667,14.2611805555556,9.92333333333333,20.2333333333333
