station,date,value,yr,mo
gtmpinut,2020-01-13,3.75,2020,Jan
gtmpinut,2020-02-11,5.8,2020,Feb
gtmpinut,2020-03-10,5.15,2020,Mar
gtmpinut,2020-04-22,12,2020,Apr
gtmpinut,2020-05-05,11.3,2020,May
gtmpinut,2020-06-02,7.8,2020,Jun
gtmpinut,2020-07-07,8.7,2020,Jul
gtmpinut,2020-09-15,2.6,2020,Sep
gtmpinut,2020-10-13,2.6,2020,Oct
gtmpinut,2020-11-17,5.25,2020,Nov
gtmpinut,2020-12-01,3.95,2020,Dec
gtmpinut,2021-01-12,4.800000000000001,2021,Jan
gtmpinut,2021-02-24,2.3499999999999996,2021,Feb
gtmpinut,2021-03-10,2.8,2021,Mar
gtmpinut,2021-04-07,6.5,2021,Apr
gtmpinut,2021-05-11,11,2021,May
gtmpinut,2021-06-08,10.5,2021,Jun
gtmpinut,2021-07-21,7.300000000000001,2021,Jul
gtmpinut,2021-08-19,4.6,2021,Aug
gtmpinut,2021-09-08,6.15,2021,Sep
gtmpinut,2021-10-05,5.25,2021,Oct
gtmpinut,2021-11-02,4.4,2021,Nov
gtmpinut,2021-12-06,5.5,2021,Dec
gtmpinut,2022-01-04,6.75,2022,Jan
gtmpinut,2022-02-01,3.3,2022,Feb
gtmpinut,2022-03-02,4.5,2022,Mar
gtmpinut,2022-04-13,18.5,2022,Apr
gtmpinut,2022-05-02,13,2022,May
gtmpinut,2022-06-14,12.5,2022,Jun
gtmpinut,2022-07-12,16,2022,Jul
gtmpinut,2022-08-09,13.5,2022,Aug
gtmpinut,2022-09-12,5.25,2022,Sep
gtmpinut,2022-10-10,5.300000000000001,2022,Oct
gtmpinut,2022-11-08,3.95,2022,Nov
gtmpinut,2022-12-06,3.2,2022,Dec
gtmpinut,2005-01-01,1.864674524735566,2005,Jan
gtmpinut,2009-06-01,10.14887205255387,2009,Jun
gtmpinut,2010-02-01,3.7039911422682237,2010,Feb
gtmpinut,2015-08-01,4.385113610760239,2015,Aug
gtmpinut,2020-08-01,4.458877901597762,2020,Aug
